date,regime
2024-06-18,bull
2024-06-19,bull
2024-06-20,bull
2024-06-21,bull
2024-06-24,bull
2024-06-25,bull
2024-06-26,bull
2024-06-27,bull
2024-06-28,bull
2024-07-01,bull
2024-07-02,bull
2024-07-03,bull
2024-07-04,bull
2024-07-05,bull
2024-07-08,bull
2024-07-09,bull
2024-07-10,bull
2024-07-11,bull
2024-07-12,bull
2024-07-15,bull
2024-07-16,bull
2024-07-17,bull
2024-07-18,bull
2024-07-19,bull
2024-07-22,bull
2024-07-23,bull
2024-07-24,bull
2024-07-25,bull
2024-07-26,bull
2024-07-29,bull
2024-07-30,bull
2024-07-31,bull
2024-08-01,bull
2024-08-02,bull
2024-08-05,bull
2024-08-06,bull
2024-08-07,bull
2024-08-08,bull
2024-08-09,bull
2024-08-12,bull
2024-08-13,bull
2024-08-14,bull
2024-08-15,bull
2024-08-16,bull
2024-08-19,bull
2024-08-20,bull
2024-08-21,bull
2024-08-22,bull
2024-08-23,bull
2024-08-26,bull
2024-08-27,bull
2024-08-28,bull
2024-08-29,bull
2024-08-30,bull
2024-09-02,bull
2024-09-03,bull
2024-09-04,bull
2024-09-05,bull
2024-09-06,bull
2024-09-09,bull
2024-09-10,bull
2024-09-11,bull
2024-09-12,bull
2024-09-13,bull
2024-09-16,bull
2024-09-17,bull
2024-09-18,bull
2024-09-19,bull
2024-09-20,bull
2024-09-23,bull
2024-09-24,bull
2024-09-25,bull
2024-09-26,bull
2024-09-27,bull
2024-09-30,bull
2024-10-01,bull
2024-10-02,bull
2024-10-03,bull
2024-10-04,bull
2024-10-07,bull
2024-10-08,bull
2024-10-09,bull
2024-10-10,bull
2024-10-11,bull
2024-10-14,bull
2024-10-15,bull
2024-10-16,bull
2024-10-17,bull
2024-10-18,bull
2024-10-21,bull
2024-10-22,bull
2024-10-23,bull
2024-10-24,bull
2024-10-25,bull
2024-10-28,bull
2024-10-29,bull
2024-10-30,bull
2024-10-31,bull
2024-11-01,bull
2024-11-04,bull
2024-11-05,bull
2024-11-06,bull
2024-11-07,bull
2024-11-08,bull
2024-11-11,bull
2024-11-12,bull
2024-11-13,bull
2024-11-14,bull
2024-11-15,bull
2024-11-18,bull
2024-11-19,bull
2024-11-20,bull
2024-11-21,bull
2024-11-22,bull
2024-11-25,bull
2024-11-26,bull
2024-11-27,bull
2024-11-28,bull
2024-11-29,bull
